@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
75,'2023/03/30 14:05:04:262',1,0.575385,0.686154,0.673846,0.550769,0.037835,0.020441,0.005758,0.005348,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
76,'2023/03/30 14:05:04:763',1,0.464615,0.618462,0.581538,0.630769,0.023757,0.015503,0.006507,0.004181,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
77,'2023/03/30 14:05:05:262',1,0.753846,0.661538,0.612308,0.587692,0.012219,0.012844,0.008382,0.004002,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
78,'2023/03/30 14:05:05:765',1,0.624615,0.686154,0.563077,0.526154,0.014312,0.013783,0.009327,0.004677,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
79,'2023/03/30 14:05:06:265',1,0.729231,0.753846,0.68,0.526154,0.023534,0.017443,0.004961,0.005589,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
80,'2023/03/30 14:05:06:769',1,0.753846,0.84,0.698462,0.550769,0.017209,0.016917,0.00446,0.004768,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
81,'2023/03/30 14:05:07:267',1,0.649231,0.673846,0.624615,0.593846,0.01436,0.013332,0.006754,0.005353,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
82,'2023/03/30 14:05:07:769',1,1.313846,1.375385,0.76,0.470769,0.025626,0.02712,0.006933,0.00548,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
83,'2023/03/30 14:05:08:270',1,0.833846,0.796923,0.569231,0.6,0.029265,0.02152,0.00458,0.005188,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
84,'2023/03/30 14:05:08:770',1,0.563077,0.667692,0.569231,0.470769,0.018693,0.014903,0.004601,0.005968,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
85,'2023/03/30 14:05:09:272',1,0.729231,0.667692,0.569231,0.563077,0.013256,0.012142,0.004763,0.006051,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
86,'2023/03/30 14:05:09:773',1,0.710769,0.723077,0.563077,0.618462,0.011226,0.010679,0.005711,0.006271,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
87,'2023/03/30 14:05:10:273',1,0.52,0.68,0.624615,0.593846,0.017892,0.0114,0.006393,0.005485,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
88,'2023/03/30 14:05:10:775',1,0.704615,0.803077,0.556923,0.587692,0.009638,0.008203,0.006526,0.00533,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
89,'2023/03/30 14:05:11:276',1,0.796923,0.673846,0.52,0.606154,0.033271,0.016788,0.005693,0.005975,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
90,'2023/03/30 14:05:11:776',1,0.630769,0.784615,0.501538,0.618462,0.020871,0.014304,0.0097,0.005749,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
91,'2023/03/30 14:05:12:279',1,0.636923,0.698462,0.575385,0.575385,0.014557,0.011923,0.007425,0.005481,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
92,'2023/03/30 14:05:12:779',1,0.821538,0.667692,0.544615,0.587692,0.01105,0.011429,0.006103,0.005186,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
93,'2023/03/30 14:05:13:280',1,0.698462,0.692308,0.563077,0.581538,0.019408,0.016008,0.006316,0.006725,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
94,'2023/03/30 14:05:13:781',1,0.618462,0.710769,0.606154,0.575385,0.01664,0.012992,0.006392,0.006499,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
95,'2023/03/30 14:05:14:282',1,0.692308,0.636923,0.655385,0.526154,0.014728,0.013286,0.006989,0.00623,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
96,'2023/03/30 14:05:14:786',1,0.692308,0.624615,0.581538,0.556923,0.013692,0.013547,0.006074,0.006383,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
97,'2023/03/30 14:05:15:285',1,0.741538,0.870769,0.581538,0.532308,0.023176,0.013164,0.005458,0.005732,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
98,'2023/03/30 14:05:15:786',1,0.643077,0.796923,0.593846,0.587692,0.017621,0.012982,0.006256,0.006289,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
99,'2023/03/30 14:05:16:288',1,0.643077,0.673846,0.593846,0.643077,0.013507,0.01266,0.006492,0.007383,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
100,'2023/03/30 14:05:16:787',1,0.704615,0.692308,0.556923,0.563077,0.012553,0.012518,0.00625,0.008424,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
101,'2023/03/30 14:05:17:290',1,0.692308,0.667692,0.563077,0.593846,0.018252,0.016701,0.006781,0.009095,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
102,'2023/03/30 14:05:17:790',1,0.686154,0.716923,0.593846,0.452308,0.012573,0.011571,0.005554,0.010841,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
