TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
nan;96;2837;-12624;-1328;-1034;-1127;814;-197;-19669;3960
nan;96;2839;-13181;-5007;-105;-824;3917;-237;-19512;7489
nan;96;2841;-11969;-6655;383;-977;6241;-275;-12515;8665
nan;96;2843;-6965;-4220;40;-199;3686;-345;3924;5643
nan;96;2845;-4047;-2368;409;83;2839;-319;10462;3988
nan;96;2847;-4442;-1291;688;-1386;3196;-166;11642;1617
nan;96;2849;-6647;-957;-448;-2965;2949;14;14740;-280
nan;96;2851;-7102;-1703;-2222;-2133;1773;187;14596;830
nan;96;2853;-6607;-4399;-2439;-1076;2269;325;10539;4242
nan;96;2855;-4868;-2384;-1412;-502;716;328;3219;2275
nan;96;2857;-1144;1967;295;-608;-1991;126;-4643;-2819
nan;96;2859;-2597;505;718;-1117;-833;-59;-4100;-1823
nan;96;2861;24;744;-1774;-843;-2205;-185;3150;-881
nan;96;2863;3623;2193;-5492;66;-3403;-276;-5023;-2355
nan;96;2865;8751;6719;-6299;566;-6571;-328;-10117;-7853
nan;96;2867;9105;7010;-4548;459;-5079;-296;-6304;-8017
nan;96;2869;5205;4372;-1679;335;-1780;-275;-12362;-4893
nan;96;2871;-612;1958;1114;478;28;-269;-21083;-2751
nan;96;2873;-3143;2167;2332;843;-286;-143;-21587;-3561
nan;96;2875;-4994;1864;1291;1002;62;-15;-23250;-3629
nan;96;2877;-5297;1209;371;1291;332;47;-18792;-2759
nan;96;2879;-8823;-126;420;1349;1459;110;-13370;-1576
nan;96;2881;-9263;21;228;1403;1652;248;-9854;-1615
nan;96;2883;-7926;187;-783;2498;430;309;-2398;-1105
nan;96;2885;-5165;633;-2228;3119;-1203;359;5244;-719
nan;96;2887;-2009;466;-2973;2557;-1459;344;8251;-499
nan;96;2889;941;-2056;-2444;2343;361;257;10759;1606
nan;96;2891;4673;-3702;-473;2127;1460;105;15033;3134
nan;96;2893;10709;-1680;1864;870;-1105;-5;19847;987
nan;96;2895;12951;-1055;2931;-1526;-1380;42;19200;-29
nan;96;2897;13800;434;3755;-4663;-962;-15;14203;-2456
nan;96;2899;13134;1003;5398;-4757;-572;-12;10885;-3776
nan;96;2901;10620;823;7080;-2875;-106;-31;7568;-2980
nan;96;2903;8463;1888;7455;-1268;-157;89;1584;-2321
nan;96;2905;7832;2742;5123;-975;-1024;119;-1567;-2259
nan;96;2907;7999;3679;1529;-1361;-2054;123;-1698;-2186
nan;96;2909;6688;3389;1702;-1721;-1505;116;-4010;-1866
nan;96;2911;4853;1817;4193;-1600;-1327;58;-5130;-958
nan;96;2913;2344;205;4227;-865;261;43;-7992;-343
nan;96;2915;1025;-718;2082;-443;851;-4;-10422;646
nan;96;2917;964;-763;786;-113;297;-32;-8176;765
nan;96;2919;4714;-205;-100;445;-1854;15;-1340;-432
nan;96;2921;4074;-2607;-2332;722;1003;104;-331;2470
nan;96;2923;3980;-2929;-5049;306;2032;61;4867;2257
nan;96;2925;3109;-1275;-5139;-70;970;61;8892;-573
nan;96;2927;913;5;-2301;-564;-166;200;8550;-2229
nan;96;2929;-3808;-2244;-67;-426;2666;235;6269;586
nan;96;2931;881;3414;1112;565;-2862;134;15064;-4328
nan;96;2933;-816;2209;3345;519;-3676;-33;13962;-2386
nan;96;2935;-5581;1109;3547;193;-2260;-226;7600;-898
nan;96;2937;-7878;735;2404;810;-1701;-335;1984;-253
nan;96;2939;-8707;906;4229;1744;-2706;-313;-2927;166
nan;96;2941;-12611;-2639;1448;2324;-65;-242;-9068;4007
nan;96;2943;-10355;976;-6395;1463;-1145;-137;-9501;377
nan;96;2945;-6995;2428;-6338;594;-1695;-129;-7498;-1334
nan;96;2947;-7102;883;-6148;652;339;-26;-9192;155
nan;96;2949;-5121;719;-9873;1081;194;127;-7003;415
nan;96;2951;-4443;-682;-10784;1389;485;182;-4707;1174
nan;96;2953;-6246;-4011;-10740;1219;4085;151;-9381;3927
nan;96;2955;-2146;-971;-8351;989;2366;92;-9998;836
nan;96;2957;5349;4035;-3902;507;-3003;35;-2555;-4299
nan;96;2959;2321;13;368;-285;1035;22;-3649;-2
nan;96;2961;1583;-63;6352;-716;2003;-3;-1999;499
nan;96;2963;580;-1319;9936;-983;2591;-32;1692;1519
nan;96;2965;-464;-1818;7854;-978;3018;28;1059;2096
nan;96;2967;4679;1300;4716;-1225;-395;10;4689;-1197
nan;96;2969;7431;960;2845;-1462;-1254;-27;8537;-1150
nan;96;2971;7340;-750;677;-1233;-628;-64;11132;309
nan;96;2973;8335;-689;-3561;-1139;-1221;-212;11872;-126
nan;96;2975;6579;-2455;-8366;-1124;541;-287;6869;1327
nan;96;2977;6313;-1456;-13040;-1024;968;-289;2504;879
nan;96;2979;9752;1928;-11145;-904;-2008;-246;6995;-1538
nan;96;2981;8816;-198;-2423;-747;-545;-276;8415;634
